
********* 1 numero epoca corrente *********

Evaluator All User
CUTOFF: 5 - ROC_AUC: 0.0266682, PRECISION: 0.0102517, PRECISION_RECALL_MIN_DEN: 0.0512584, RECALL: 0.0512584, MAP: 0.0245440, MRR: 0.0245440, NDCG: 0.0310858, F1: 0.0170861, HIT_RATE: 0.0512584, ARHR: 0.0245440, NOVELTY: 0.0181393, AVERAGE_POPULARITY: 0.0735152, DIVERSITY_MEAN_INTER_LIST: 0.9974670, DIVERSITY_HERFINDAHL: 0.9994473, COVERAGE_ITEM: 0.7641662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4482345, SHANNON_ENTROPY: 11.0668346, 
CUTOFF: 6 - ROC_AUC: 0.0315862, PRECISION: 0.0105441, PRECISION_RECALL_MIN_DEN: 0.0632648, RECALL: 0.0632648, MAP: 0.0265451, MRR: 0.0265451, NDCG: 0.0353626, F1: 0.0180757, HIT_RATE: 0.0632648, ARHR: 0.0265451, NOVELTY: 0.0217705, AVERAGE_POPULARITY: 0.0736377, DIVERSITY_MEAN_INTER_LIST: 0.9969256, DIVERSITY_HERFINDAHL: 0.9994492, COVERAGE_ITEM: 0.7814355, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4499106, SHANNON_ENTROPY: 11.0758256, 
CUTOFF: 7 - ROC_AUC: 0.0368660, PRECISION: 0.0101923, PRECISION_RECALL_MIN_DEN: 0.0713461, RECALL: 0.0713461, MAP: 0.0276995, MRR: 0.0276995, NDCG: 0.0380564, F1: 0.0178365, HIT_RATE: 0.0713461, ARHR: 0.0276995, NOVELTY: 0.0253926, AVERAGE_POPULARITY: 0.0736300, DIVERSITY_MEAN_INTER_LIST: 0.9964300, DIVERSITY_HERFINDAHL: 0.9994571, COVERAGE_ITEM: 0.7933081, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4544114, SHANNON_ENTROPY: 11.0904129, 
CUTOFF: 8 - ROC_AUC: 0.0417917, PRECISION: 0.0105634, PRECISION_RECALL_MIN_DEN: 0.0845070, RECALL: 0.0845070, MAP: 0.0293446, MRR: 0.0293446, NDCG: 0.0422082, F1: 0.0187793, HIT_RATE: 0.0845070, ARHR: 0.0293446, NOVELTY: 0.0290250, AVERAGE_POPULARITY: 0.0736980, DIVERSITY_MEAN_INTER_LIST: 0.9959240, DIVERSITY_HERFINDAHL: 0.9994618, COVERAGE_ITEM: 0.8022126, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4575056, SHANNON_ENTROPY: 11.1010736, 
CUTOFF: 9 - ROC_AUC: 0.0471311, PRECISION: 0.0107237, PRECISION_RECALL_MIN_DEN: 0.0965135, RECALL: 0.0965135, MAP: 0.0306787, MRR: 0.0306787, NDCG: 0.0458225, F1: 0.0193027, HIT_RATE: 0.0965135, ARHR: 0.0306787, NOVELTY: 0.0326529, AVERAGE_POPULARITY: 0.0734424, DIVERSITY_MEAN_INTER_LIST: 0.9955575, DIVERSITY_HERFINDAHL: 0.9994808, COVERAGE_ITEM: 0.8130059, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4707381, SHANNON_ENTROPY: 11.1347841, 
CUTOFF: 10 - ROC_AUC: 0.0526181, PRECISION: 0.0105287, PRECISION_RECALL_MIN_DEN: 0.1052875, RECALL: 0.1052875, MAP: 0.0315561, MRR: 0.0315561, NDCG: 0.0483587, F1: 0.0191432, HIT_RATE: 0.1052875, ARHR: 0.0315561, NOVELTY: 0.0362835, AVERAGE_POPULARITY: 0.0733570, DIVERSITY_MEAN_INTER_LIST: 0.9952506, DIVERSITY_HERFINDAHL: 0.9995021, COVERAGE_ITEM: 0.8224501, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4888485, SHANNON_ENTROPY: 11.1798568, 

Evaluator F User
CUTOFF: 1 - ROC_AUC: 0.0093567, PRECISION: 0.0093567, PRECISION_RECALL_MIN_DEN: 0.0093567, RECALL: 0.0093567, MAP: 0.0093567, MRR: 0.0093567, NDCG: 0.0093567, F1: 0.0093567, HIT_RATE: 0.0093567, ARHR: 0.0093567, NOVELTY: 0.0036366, AVERAGE_POPULARITY: 0.0739750, DIVERSITY_MEAN_INTER_LIST: 0.9995209, DIVERSITY_HERFINDAHL: 0.9989364, COVERAGE_ITEM: 0.3208311, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.2489389, SHANNON_ENTROPY: 10.0602183, 
CUTOFF: 2 - ROC_AUC: 0.0093567, PRECISION: 0.0099415, PRECISION_RECALL_MIN_DEN: 0.0198830, RECALL: 0.0198830, MAP: 0.0146199, MRR: 0.0146199, NDCG: 0.0159981, F1: 0.0132554, HIT_RATE: 0.0198830, ARHR: 0.0146199, NOVELTY: 0.0072944, AVERAGE_POPULARITY: 0.0717127, DIVERSITY_MEAN_INTER_LIST: 0.9990210, DIVERSITY_HERFINDAHL: 0.9992184, COVERAGE_ITEM: 0.4762547, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.3310950, SHANNON_ENTROPY: 10.5506186, 
CUTOFF: 3 - ROC_AUC: 0.0146199, PRECISION: 0.0105263, PRECISION_RECALL_MIN_DEN: 0.0315789, RECALL: 0.0315789, MAP: 0.0185185, MRR: 0.0185185, NDCG: 0.0218460, F1: 0.0157895, HIT_RATE: 0.0315789, ARHR: 0.0185185, NOVELTY: 0.0109222, AVERAGE_POPULARITY: 0.0730348, DIVERSITY_MEAN_INTER_LIST: 0.9986073, DIVERSITY_HERFINDAHL: 0.9993411, COVERAGE_ITEM: 0.5771722, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.3855211, SHANNON_ENTROPY: 10.7980390, 
CUTOFF: 4 - ROC_AUC: 0.0202729, PRECISION: 0.0106725, PRECISION_RECALL_MIN_DEN: 0.0426901, RECALL: 0.0426901, MAP: 0.0212963, MRR: 0.0212963, NDCG: 0.0266313, F1: 0.0170760, HIT_RATE: 0.0426901, ARHR: 0.0212963, NOVELTY: 0.0145370, AVERAGE_POPULARITY: 0.0739031, DIVERSITY_MEAN_INTER_LIST: 0.9980860, DIVERSITY_HERFINDAHL: 0.9993756, COVERAGE_ITEM: 0.6284404, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.4056932, SHANNON_ENTROPY: 10.8884359, 
CUTOFF: 5 - ROC_AUC: 0.0258772, PRECISION: 0.0115789, PRECISION_RECALL_MIN_DEN: 0.0578947, RECALL: 0.0578947, MAP: 0.0243372, MRR: 0.0243372, NDCG: 0.0325133, F1: 0.0192982, HIT_RATE: 0.0578947, ARHR: 0.0243372, NOVELTY: 0.0181611, AVERAGE_POPULARITY: 0.0739076, DIVERSITY_MEAN_INTER_LIST: 0.9975376, DIVERSITY_HERFINDAHL: 0.9993909, COVERAGE_ITEM: 0.6610901, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.4157901, SHANNON_ENTROPY: 10.9351366, 
CUTOFF: 6 - ROC_AUC: 0.0322807, PRECISION: 0.0115010, PRECISION_RECALL_MIN_DEN: 0.0690058, RECALL: 0.0690058, MAP: 0.0261891, MRR: 0.0261891, NDCG: 0.0364712, F1: 0.0197160, HIT_RATE: 0.0690058, ARHR: 0.0261891, NOVELTY: 0.0218000, AVERAGE_POPULARITY: 0.0734266, DIVERSITY_MEAN_INTER_LIST: 0.9970074, DIVERSITY_HERFINDAHL: 0.9994041, COVERAGE_ITEM: 0.6875337, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.4240457, SHANNON_ENTROPY: 10.9705422, 
CUTOFF: 7 - ROC_AUC: 0.0384016, PRECISION: 0.0108605, PRECISION_RECALL_MIN_DEN: 0.0760234, RECALL: 0.0760234, MAP: 0.0271916, MRR: 0.0271916, NDCG: 0.0388104, F1: 0.0190058, HIT_RATE: 0.0760234, ARHR: 0.0271916, NOVELTY: 0.0254227, AVERAGE_POPULARITY: 0.0737329, DIVERSITY_MEAN_INTER_LIST: 0.9964984, DIVERSITY_HERFINDAHL: 0.9994165, COVERAGE_ITEM: 0.7050729, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.4305630, SHANNON_ENTROPY: 10.9972332, 
CUTOFF: 8 - ROC_AUC: 0.0437761, PRECISION: 0.0105263, PRECISION_RECALL_MIN_DEN: 0.0842105, RECALL: 0.0842105, MAP: 0.0282150, MRR: 0.0282150, NDCG: 0.0413931, F1: 0.0187135, HIT_RATE: 0.0842105, ARHR: 0.0282150, NOVELTY: 0.0290170, AVERAGE_POPULARITY: 0.0745125, DIVERSITY_MEAN_INTER_LIST: 0.9959957, DIVERSITY_HERFINDAHL: 0.9994267, COVERAGE_ITEM: 0.7193740, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.4355660, SHANNON_ENTROPY: 11.0171386, 
CUTOFF: 9 - ROC_AUC: 0.0488304, PRECISION: 0.0105263, PRECISION_RECALL_MIN_DEN: 0.0947368, RECALL: 0.0947368, MAP: 0.0293846, MRR: 0.0293846, NDCG: 0.0445618, F1: 0.0189474, HIT_RATE: 0.0947368, ARHR: 0.0293846, NOVELTY: 0.0326603, AVERAGE_POPULARITY: 0.0740093, DIVERSITY_MEAN_INTER_LIST: 0.9956426, DIVERSITY_HERFINDAHL: 0.9994512, COVERAGE_ITEM: 0.7361036, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.4516391, SHANNON_ENTROPY: 11.0645064, 
CUTOFF: 10 - ROC_AUC: 0.0539311, PRECISION: 0.0104094, PRECISION_RECALL_MIN_DEN: 0.1040936, RECALL: 0.1040936, MAP: 0.0303202, MRR: 0.0303202, NDCG: 0.0472665, F1: 0.0189261, HIT_RATE: 0.1040936, ARHR: 0.0303202, NOVELTY: 0.0363078, AVERAGE_POPULARITY: 0.0740300, DIVERSITY_MEAN_INTER_LIST: 0.9953494, DIVERSITY_HERFINDAHL: 0.9994767, COVERAGE_ITEM: 0.7528332, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.4705723, SHANNON_ENTROPY: 11.1167742, 

********* 3 numero epoca corrente *********

